%% LaTeX2e file `PFPschedMIN.data'
%% generated by the `filecontents' environment
%% from source `tesi' on 2014/07/17.
%%
#Utilization   Times $\mu$s
1.0  17.35
2.0  17.60
3.0  17.03
3.5  14.54
4.0  16.91
4.5  16.16
5.0  16.46
6.0  16.37
