%% LaTeX2e file `MRSPreleaseMIN.data'
%% generated by the `filecontents' environment
%% from source `tesi' on 2014/09/23.
%%
#Utilization   Times $\mu$s
1.0  12.84
2.0  12.90
3.0  11.86
3.5  11.36
4.0  11.84
4.5  11.70
5.0  12.04
6.0  11.74
