%% LaTeX2e file `MRSPschedAVG.data'
%% generated by the `filecontents' environment
%% from source `tesi' on 2014/09/23.
%%
#Utilization   Times $\mu$s
1.0  16.085
2.0  13.076
3.0  11.795
3.5  10.968
4.0  10.374
4.5  9.009
5.0  9.392
6.0  8.349
