%% LaTeX2e file `MRSPcxsMIN.data'
%% generated by the `filecontents' environment
%% from source `slides' on 2014/10/02.
%%
#Utilization   Times $\mu$s
1.0  15.38
2.0  15.68
3.0  15.76
3.5  13.67
4.0  13.17
4.5  12.51
5.0  13.74
6.0  14.30
